id,title,genres,averageRating,releaseYear
1,The Shawshank Redemption,Drama,9.3,1994
2,The Godfather,"Crime, Drama",9.2,1972
3,The Chaos Class,Comedy,9.2,1975
4,Attack on Titan the Movie: The Last Attack,"Action, Adventure, Animation",9.2,2024
5,Ramayana: The Legend of Prince Rama,"Action, Adventure, Animation",9.1,1993
6,The Dark Knight,"Action, Crime, Drama",9,2008
7,The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy",9,2003
8,Schindler's List,"Biography, Drama, History",9,1993
9,The Godfather Part II,"Crime, Drama",9,1974
10,12 Angry Men,"Crime, Drama",9,1957
11,The Silence of Swastika,"Documentary, History",9,2021
12,Pulp Fiction,"Crime, Drama",8.9,1994
13,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy",8.9,2001
14,Mirror Game,"Crime, Mystery, Thriller",8.9,2016
15,Tosun Pasha,"Comedy, History",8.9,1976
16,O.J.: Made in America,"Biography, Crime, Documentary",8.9,2016
17,The Message,"Biography, Drama, History",8.9,1976
18,Inception,"Action, Adventure, Sci-Fi",8.8,2010
19,Fight Club,"Crime, Drama, Thriller",8.8,1999
20,Forrest Gump,"Drama, Romance",8.8,1994
21,The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy",8.8,2002
22,"The Good, the Bad and the Ugly","Adventure, Western",8.8,1966
23,12th Fail,"Biography, Drama",8.8,2023
24,The Chaos Class Failed the Class,Comedy,8.8,1975
25,The Foster Brothers,"Comedy, History",8.8,1976
26,The Marathon Family,"Comedy, Drama",8.8,1982
27,#Home,"Drama, Family",8.8,2021
28,Balkan Spy,"Comedy, Drama",8.8,1984
29,Solo Leveling: ReAwakening,"Action, Adventure, Animation",8.8,2024
30,The Phantom of the Opera at the Royal Albert Hall,"Drama, Musical, Romance",8.8,2011
31,Interstellar,"Adventure, Drama, Sci-Fi",8.7,2014
32,The Matrix,"Action, Sci-Fi",8.7,1999
33,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",8.7,1980
34,Goodfellas,"Biography, Crime, Drama",8.7,1990
35,One Flew Over the Cuckoo's Nest,Drama,8.7,1975
36,Jai Bhim,"Crime, Drama",8.7,2021
37,Soorarai Pottru,Drama,8.7,2020
38,777 Charlie,"Adventure, Comedy, Drama",8.7,2022
39,Stop Making Sense,"Documentary, Music",8.7,1984
40,The Chaos Class Is Waking Up,Comedy,8.7,1976
41,Pariyerum Perumal,Drama,8.7,2018
42,"Saban, Son of Saban","Comedy, History",8.7,1977
43,Kill Bill: The Whole Bloody Affair,"Action, Crime, Thriller",8.7,2006
44,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,"Action, Animation, Fantasy",8.7,2020
45,Who's Singin' Over There?,"Adventure, Comedy, Drama",8.7,1980
46,Resurrection,"Drama, Family",8.7,2018
47,Manichithrathazhu,"Comedy, Horror, Mystery",8.7,1993
48,Toma,"Biography, Drama, Music",8.7,2021
49,Happy Days,"Comedy, Drama",8.7,1978
50,Shoah,"Documentary, History, War",8.7,1985
51,Se7en,"Crime, Drama, Mystery",8.6,1995
52,The Silence of the Lambs,"Crime, Drama, Horror",8.6,1991
53,Saving Private Ryan,"Drama, War",8.6,1998
54,Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy",8.6,1977
55,The Green Mile,"Crime, Drama, Fantasy",8.6,1999
56,Terminator 2: Judgment Day,"Action, Adventure, Sci-Fi",8.6,1991
57,Spirited Away,"Adventure, Animation, Family",8.6,2001
58,City of God,"Crime, Drama",8.6,2002
59,Life Is Beautiful,"Comedy, Drama, Romance",8.6,1997
60,It's a Wonderful Life,"Drama, Family, Fantasy",8.6,1946
61,Seven Samurai,"Action, Drama",8.6,1954
62,Harakiri,"Drama, Mystery",8.6,1962
63,Rocketry: The Nambi Effect,"Biography, Drama",8.6,2022
64,Anbe Sivam,"Adventure, Comedy, Drama",8.6,2003
65,Nayakan,"Crime, Drama",8.6,1987
66,A Dog's Will,"Comedy, Drama, Fantasy",8.6,2000
67,Earthlings,Documentary,8.6,2005
68,The Chaos Class Is on Vacation,Comedy,8.6,1977
69,"Pretty Village, Pretty Flame","Drama, History, War",8.6,1996
70,"Feyzo, the Polite One","Comedy, Drama",8.6,1978
71,The Broken Landlord,"Comedy, Drama",8.6,1985
72,Daman,"Adventure, Drama",8.6,2022
73,My Dear Brother,Drama,8.6,1973
74,Pink Floyd: Live at Pompeii,"Documentary, Music",8.6,1972
75,Django Unchained,Western,8.5,2012
76,Gladiator,"Action, Adventure, Drama",8.5,2000
77,The Prestige,"Drama, Mystery, Sci-Fi",8.5,2006
78,The Departed,"Crime, Drama, Thriller",8.5,2006
79,Back to the Future,"Adventure, Comedy, Sci-Fi",8.5,1985
80,Léon: The Professional,"Action, Crime, Drama",8.5,1994
81,American History X,"Crime, Drama",8.5,1998
82,The Lion King,"Adventure, Animation, Drama",8.5,1994
83,The Usual Suspects,"Crime, Drama, Mystery",8.5,1995
84,Whiplash,"Drama, Music",8.5,2014
85,Parasite,"Drama, Thriller",8.5,2019
86,Alien,"Horror, Sci-Fi",8.5,1979
87,The Intouchables,"Comedy, Drama",8.5,2011
88,The Pianist,"Biography, Drama, Music",8.5,2002
89,Psycho,"Drama, Horror, Mystery",8.5,1960
90,Casablanca,"Drama, Romance, War",8.5,1942
91,Dune: Part Two,"Action, Adventure, Drama",8.5,2024
92,The Kashmir Files,Drama,8.5,2022
93,Rear Window,"Drama, Mystery, Thriller",8.5,1954
94,Spider-Man: Across the Spider-Verse,"Action, Adventure, Animation",8.5,2023
95,Once Upon a Time in the West,"Drama, Western",8.5,1968
96,Grave of the Fireflies,"Animation, Drama, War",8.5,1988
97,Cinema Paradiso,"Drama, Romance",8.5,1988
98,Modern Times,"Comedy, Drama, Romance",8.5,1936
99,City Lights,"Comedy, Drama, Romance",8.5,1931
100,Senna,"Biography, Documentary, Sport",8.5,2010
101,Sita Ramam,"Action, Drama, Mystery",8.5,2022
102,Dear Zachary: A Letter to a Son About His Father,"Biography, Crime, Documentary",8.5,2008
103,Baraka,Documentary,8.5,1992
104,96,"Drama, Romance",8.5,2018
105,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,"Action, Animation, Fantasy",8.5,2021
106,Sarpatta Parambarai,"Action, Drama, Sport",8.5,2021
107,20 Days in Mariupol,"Documentary, War",8.5,2023
108,The Best of Youth,"Drama, Romance",8.5,2003
109,Jersey,"Drama, Sport",8.5,2019
110,Home,"Documentary, Family",8.5,2009
111,The King of the Street Cleaners,Comedy,8.5,1977
112,The Hole,"Crime, Drama, Thriller",8.5,1960
113,Gol Maal,"Comedy, Romance",8.5,1979
114,Kumbalangi Nights,"Comedy, Drama, Romance",8.5,2019
115,The Girl with the Red Scarf,"Drama, Romance",8.5,1977
116,Thalapathi,"Action, Crime, Drama",8.5,1991
117,For Sama,"Biography, Documentary, War",8.5,2019
118,Zübük,Comedy,8.5,1980
119,The Legend of Maula Jatt,"Action, Drama, Fantasy",8.5,2022
120,The Human Condition I: No Greater Love,"Drama, History, War",8.5,1959
121,The Dark Knight Rises,"Action, Crime, Drama",8.4,2012
122,Inglourious Basterds,"Adventure, Drama, War",8.4,2009
123,Memento,"Mystery, Thriller",8.4,2000
124,Avengers: Endgame,"Action, Adventure, Sci-Fi",8.4,2019
125,Avengers: Infinity War,"Action, Adventure, Sci-Fi",8.4,2018
126,WALL·E,"Adventure, Animation, Family",8.4,2008
127,The Shining,"Drama, Horror",8.4,1980
128,Raiders of the Lost Ark,"Action, Adventure",8.4,1981
129,Aliens,"Action, Adventure, Horror",8.4,1986
130,Apocalypse Now,"Drama, Mystery, War",8.4,1979
131,Spider-Man: Into the Spider-Verse,"Action, Adventure, Animation",8.4,2018
132,Coco,"Adventure, Animation, Drama",8.4,2017
133,3 Idiots,"Comedy, Drama",8.4,2009
134,Amadeus,"Biography, Drama, Music",8.4,1984
135,The Lives of Others,"Drama, Mystery, Thriller",8.4,2006
136,Your Name.,"Animation, Drama, Fantasy",8.4,2016
137,Das Boot,"Drama, War",8.4,1981
138,Sunset Boulevard,"Drama, Film-Noir",8.4,1950
139,The Great Dictator,"Comedy, Drama, War",8.4,1940
140,Paths of Glory,"Drama, War",8.4,1957
141,Witness for the Prosecution,"Crime, Drama, Mystery",8.4,1957
142,Capernaum,Drama,8.4,2018
143,Maharaja,"Action, Crime, Drama",8.4,2024
144,High and Low,"Crime, Drama, Mystery",8.4,1963
145,The Cove,"Biography, Crime, Documentary",8.4,2009
146,Kaithi,"Action, Crime, Thriller",8.4,2019
147,Drishyam,"Crime, Drama, Mystery",8.4,2013
148,Drishyam 2,"Crime, Drama, Mystery",8.4,2021
149,Samsara,"Documentary, Music",8.4,2011
150,Asuran,"Action, Drama",8.4,2019
151,The Salt of the Earth,"Biography, Documentary, History",8.4,2014
152,Woman in the Dunes,"Drama, Thriller",8.4,1964
153,The Lizard,"Comedy, Drama",8.4,2004
154,Black Friday,"Action, Crime, Drama",8.4,2004
155,Thani Oruvan,"Action, Crime, Drama",8.4,2015
156,Vada Chennai,"Action, Crime, Drama",8.4,2018
157,The World of Apu,Drama,8.4,1959
158,Mahanati,"Biography, Drama",8.4,2018
159,Operation 'Y' & Other Shurik's Adventures,"Comedy, Crime, Drama",8.4,1965
160,The Pinchcliffe Grand Prix,"Animation, Comedy, Family",8.4,1975
161,Philanthropy,"Comedy, Drama",8.4,2002
162,Meiyazhagan,"Drama, Family",8.4,2024
163,Intoxicated by Love,"Drama, History, Romance",8.4,2024
164,Visaaranai,"Crime, Drama, Thriller",8.4,2015
165,Attack on Titan: Chronicle,"Action, Adventure, Animation",8.4,2020
166,Mr. Muhsin,"Comedy, Drama, Music",8.4,1987
167,"When I Grow Up, I'll Be a Kangaroo",Comedy,8.4,2004
168,Joker,"Crime, Drama, Thriller",8.3,2019
169,American Beauty,Drama,8.3,1999
170,Up,"Adventure, Animation, Comedy",8.3,2009
171,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",8.3,1983
172,Good Will Hunting,"Drama, Romance",8.3,1997
173,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",8.3,2004
174,Reservoir Dogs,"Crime, Thriller",8.3,1992
175,Braveheart,"Biography, Drama, War",8.3,1995
176,Toy Story,"Adventure, Animation, Comedy",8.3,1995
177,Scarface,"Crime, Drama",8.3,1983
178,Requiem for a Dream,Drama,8.3,2000
179,Toy Story 3,"Adventure, Animation, Comedy",8.3,2010
180,Oppenheimer,"Biography, Drama, History",8.3,2023
181,Amélie,"Comedy, Romance",8.3,2001
182,Heat,"Action, Crime, Drama",8.3,1995
183,2001: A Space Odyssey,"Adventure, Sci-Fi",8.3,1968
184,Oldboy,"Action, Drama, Mystery",8.3,2003
185,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy, War",8.3,1964
186,Citizen Kane,"Drama, Mystery",8.3,1941
187,Princess Mononoke,"Adventure, Animation, Fantasy",8.3,1997
188,Once Upon a Time in America,"Crime, Drama",8.3,1984
189,The Hunt,Drama,8.3,2012
190,North by Northwest,"Adventure, Drama, Mystery",8.3,1959
191,To Kill a Mockingbird,"Crime, Drama",8.3,1962
192,Lawrence of Arabia,"Adventure, Biography, Drama",8.3,1962
193,The Sting,"Comedy, Crime, Drama",8.3,1973
194,Singin' in the Rain,"Comedy, Musical, Romance",8.3,1952
195,A Separation,Drama,8.3,2011
196,Incendies,"Drama, Mystery, War",8.3,2010
197,Dangal,"Action, Biography, Drama",8.3,2016
198,Like Stars on Earth,"Drama, Family",8.3,2007
199,The Apartment,"Comedy, Drama, Romance",8.3,1960
200,Metropolis,"Drama, Sci-Fi",8.3,1927
201,M,"Crime, Mystery, Thriller",8.3,1931
202,Double Indemnity,"Crime, Drama, Film-Noir",8.3,1944
203,Dil Bechara,"Comedy, Drama, Romance",8.3,2020
204,Shershaah,"Action, Biography, Drama",8.3,2021
205,Hamilton,"Biography, Drama, History",8.3,2020
206,Come and See,"Drama, Thriller, War",8.3,1985
207,I'm Still Here,"Biography, Drama, History",8.3,2024
208,Ikiru,Drama,8.3,1952
209,Judgment at Nuremberg,"Drama, War",8.3,1961
210,Vikram,"Action, Crime, Thriller",8.3,2022
211,Kaiva,"Action, Drama, Romance",8.3,2023
